"#datatype","string","long","dateTime:RFC3339","dateTime:RFC3339","dateTime:RFC3339","double"
"#group","false","false","false","true","true","false"
"#default","_result","","","","",""
"","","0","2025-06-04T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.967500000000083"
"","","0","2025-06-04T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.441666666666706"
"","","0","2025-06-04T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.55499999999999"
"","","0","2025-06-04T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.35138888888901"
"","","0","2025-06-04T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.436111111111128"
"","","0","2025-06-04T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.438666666666595"
"","","0","2025-06-04T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.448333333333366"
"","","0","2025-06-04T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.795567867035953"
"","","0","2025-06-05T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.485555555555644"
"","","0","2025-06-05T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.413888888888934"
"","","0","2025-06-05T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.023611111111101"
"","","0","2025-06-05T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.01898734177216"
"","","0","2025-06-05T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.151388888888858"
"","","0","2025-06-05T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.66249999999991"
